"Time","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2022","13,680","13,570","13,680","13,555","2.30M","0.04%"
"Jan 19, 2022","13,675","13,775","13,775","13,640","1.34M","-1.76%"
"Jan 18, 2022","13,920","14,010","14,010","13,895","1.49M","-0.57%"
"Jan 17, 2022","14,000","13,975","14,020","13,970","647.11K","0.21%"
"Jan 14, 2022","13,970","13,970","13,980","13,910","2.35M","-1.10%"
"Jan 13, 2022","14,125","14,150","14,160","14,110","2.29M","-0.32%"
"Jan 12, 2022","14,170","14,140","14,175","14,110","2.33M","0.85%"
"Jan 11, 2022","14,050","14,115","14,115","14,045","917.77K","-0.67%"
"Jan 10, 2022","14,145","14,115","14,165","14,080","946.30K","-0.74%"
"Jan 07, 2022","14,250","14,210","14,295","14,210","953.03K","0.67%"
"Jan 06, 2022","14,155","14,225","14,240","14,130","1.57M","-1.84%"
"Jan 05, 2022","14,420","14,440","14,460","14,415","1.01M","-0.21%"
"Jan 04, 2022","14,450","14,410","14,460","14,410","1.23M","0.56%"
"Jan 03, 2022","14,370","14,355","14,390","14,330","1.03M","0.14%"
